district_id,district_name,population,data_year
1,District 1 - Dayton's Bluff,8200,2020
2,District 2 - Payne-Phalen,7100,2020
3,District 3 - East Side,9400,2020
4,District 4 - Summit Hill,8900,2020
5,District 5 - West Side,7600,2020
6,District 6 - North End,8800,2020
7,District 7 - Como,9100,2020
8,District 8 - Frogtown,8400,2020
9,District 9 - North End (Upper),7900,2020
10,District 10 - University,9300,2020
11,District 11 - North Star,8600,2020
12,District 12 - Ward 12,7700,2020
13,District 13 - Union Park,9200,2020
14,District 14 - Longfellow,8500,2020
15,District 15 - Powder Keg,7800,2020
16,District 16 - Mountain View,8100,2020
17,District 17 - South St. Paul,9000,2020
